,Venue,Title
94,CHIL 2021,Multi-Task Adversarial Learning for Treatment Effect Estimation in Basket Trials
95,CHIL 2021,Real-Time Seizure Detection using EEG: A Comprehensive Comparison of Recent Approaches under a Realistic Setting
96,ML4H 2021,CEHR-BERT: Incorporating temporal information from structured EHR data to improve prediction tasks
97,CHIL 2021,Evaluating Domain Generalization for Survival Analysis in Clinical Studies
98,ML4H 2021,Retrieval-Based Chest X-Ray Report Generation Using a Pre-trained Contrastive Language-Image Model
99,ML4H 2021,G-Net: a Recurrent Network Approach to G-Computation for Counterfactual Prediction Under a Dynamic Treatment Regime
100,ML4H 2021,RadBERT-CL: Factually-Aware Contrastive Learning For Radiology Report Classification
101,ML4H 2021,Longitudinal patient stratification of electronic health records with flexible adjustment for clinical outcomes
102,ML4H 2021,Deconfounding Temporal Autoencoder: Estimating Treatment Effects over Time Using Noisy Proxies
103,CHIL 2021,Counterfactually Guided Policy Transfer in Clinical Settings
104,ML4H 2021,3KG: Contrastive Learning of 12-Lead Electrocardiograms using Physiologically-Inspired Augmentations
105,ML4H 2021,Domain-guided Self-supervision of EEG Data Improves Downstream Classification Performance and Generalizability
106,ML4H 2021,Early Exit Ensembles for Uncertainty Quantification
107,ML4H 2021,Prognosticating Colorectal Cancer Recurrence using an Interpretable Deep Multi-view Network
108,ML4H 2021,"SmartTriage: A system for personalized patient data capture, documentation generation, and decision support"
109,CHIL 2021,PhysioMTL: Personalizing Physiological Patterns using Optimal Transport Multi-Task Regression
110,ML4H 2021,Image Classification with Consistent Supporting Evidence
111,ML4H 2021,How Transferable are Self-supervised Features in Medical Image Classification Tasks?
112,ML4H 2021,Towards Explainable End-to-End Prostate Cancer Relapse Prediction from H&E Images Combining Self-Attention Multiple Instance Learning with a Recurrent Neural Network
113,ML4H 2021,Question Answering for Complex Electronic Health Records Database using Unified Encoder-Decoder Architecture
114,ML4H 2020,Improved Clinical Abbreviation Expansion via Non-Sense-Based Approaches
115,ML4H 2021,"MEDCOD: A Medically-Accurate, Emotive, Diverse, and Controllable Dialog System"
116,ML4H 2020,Parkinsonian Chinese Speech Analysis towards Automatic Classification of Parkinson's Disease
117,ML4H 2020,Neural Temporal Point Processes For Modelling Electronic Health Records
118,ML4H 2020,Quantifying Common Support between Multiple Treatment Groups Using a Contrastive-VAE
119,ML4H 2020,sEMG Gesture Recognition with a Simple Model of Attention
120,ML4H 2020,Machine Learning for Health (ML4H) 2020: Advancing Healthcare for All
121,ML4H 2020,Zero-Shot Clinical Acronym Expansion via Latent Meaning Cells
122,ML4H 2021,Machine Learning for Health (ML4H) 2021
123,ML4H 2020,A Bayesian Hierarchical Network for Combining Heterogeneous Data Sources in Medical Diagnoses
124,MIDL 2021,Improved model-based deep learning for quantitative susceptibility mapping
125,ML4H 2021,Attention Distillation for Detection Transformers: Application to Real-Time Video Object Detection in Ultrasound
126,ML4H 2021,End-to-End Sequential Sampling and Reconstruction for MRI
127,ML4H 2020,An Empirical Study of Representation Learning for Reinforcement Learning in Healthcare
