,Venue,Paper Title,Mention Style,Mention,Notes
18,CHIL 2021,Learning Unsupervised Representations for ICU Timeseries,Footnote, 1,"data and code availability this paper uses the
hirid icu dataset (), which is
available on the physionet repository. the proposed model is also evaluated on an icu dataset from
1.  hospital for sick children in toronto canada,
which unfortunately is not publicly available. the
code implementation of this work and all the experiments are made available here: "
19,CHIL 2021,Context-Sensitive Spelling Correction of Clinical Text via Conditional Independence,Inline Citation,"johnson et al., 2016","data and code availability this paper uses the
mimic-iii dataset (), which is
available on the physionet repository (moody et al.,
2000), and misspelling annotation of the mimiciii dataset by (). this paper also
uses a dataset released by cspell ()
which contains spelling errors in consumer health
questions. for the reviewing purpose, we append
the anonymized version of the code as supplementary material. the source code repository and the
model parameter are available at "
20,CHIL 2021,Context-Sensitive Spelling Correction of Clinical Text via Conditional Independence,Inline Citation,"fivez et al., 2017",
21,CHIL 2021,Context-Sensitive Spelling Correction of Clinical Text via Conditional Independence,Inline Citation,"lu et al., 2019",
22,CHIL 2021,Context-Sensitive Spelling Correction of Clinical Text via Conditional Independence,URL,https://github.com/dalgu90/cim-misspelling,"data and code availability this paper uses the
mimic-iii dataset (), which is
available on the physionet repository (moody et al.,
2000), and misspelling annotation of the mimiciii dataset by (). this paper also
uses a dataset released by cspell ()
which contains spelling errors in consumer health
questions. for the reviewing purpose, we append
the anonymized version of the code as supplementary material. the source code repository and the
model parameter are available at "
23,CHIL 2021,Unifying Heterogeneous Electronic Health Records Systems via Text-Based Code Embedding,Inline Citation,"johnson et al., 2016","data and code availability this paper uses
mimic-iii and eicu, which are publicly available on
the physionet repository (; ). more details about datasets can
be found at section . our code implementation is
available is available on github.
∗ these authors contributed equally
1. © 2022 k. hur, j. lee, j. oh, w. price, y. kim & e. choi.
"
24,CHIL 2021,Unifying Heterogeneous Electronic Health Records Systems via Text-Based Code Embedding,Inline Citation,"pollard et al., 2018",
25,CHIL 2021,Unifying Heterogeneous Electronic Health Records Systems via Text-Based Code Embedding,URL,https://github.com/hoon9405/descemb,"data and code availability this paper uses
mimic-iii and eicu, which are publicly available on
the physionet repository (; ). more details about datasets can
be found at section . our code implementation is
available is available on github.
∗ these authors contributed equally
1. © 2022 k. hur, j. lee, j. oh, w. price, y. kim & e. choi.
"
26,CHIL 2021,Unifying Heterogeneous Electronic Health Records Systems via Text-Based Code Embedding,Footnote,1,"data and code availability this paper uses
mimic-iii and eicu, which are publicly available on
the physionet repository (; ). more details about datasets can
be found at section . our code implementation is
available is available on github.
∗ these authors contributed equally
1. © 2022 k. hur, j. lee, j. oh, w. price, y. kim & e. choi.
"
27,CHIL 2021,Uncertainty-Aware Text-to-Program for Question Answering on Structured Electronic Health Records,Footnote,1,"data and code availability our source code
and dataset are available on the official repository.
"
28,CHIL 2021,ADCB: An Alzheimer’s disease simulator for benchmarking observational estimators of causal effects,URL,http://adni.loni.usc.edu),"data and code availability we make use
of publicly available longitudinal data, of both
alzheimer’s disease (ad) patients and cognitively
normal controls, from the alzheimer’s disease neuroimaging initiative (adni) database ( adni collects clinical data,
neuroimaging data, genetic data, biological markers,
and clinical and neuropsychological assessments from
1. for the alzheimer’s disease neuroimaging initiative:
data used in preparation of this article were obtained
from the alzheimer’s disease neuroimaging initiative
(adni) database (adni.loni.usc.edu). as such, the investigators within the adni contributed to the design
and implementation of adni and/or provided data but
did not participate in analysis or writing of this report. a complete listing of adni investigators can
be found at:
© 2022 n.m. kinyanjui & f.d. johansson.
participants at different sites in the usa and canada
to study cognitive impairment and and ad. the cohorts used in this work were assembled from adni
1 and go. we use trajectories of 870 unique
patients, taking samples in 12-month intervals. an
implementation of the simulator can be found at
"
29,CHIL 2021,ADCB: An Alzheimer’s disease simulator for benchmarking observational estimators of causal effects,URL,http://adni.loni.usc.edu/wp-content/uploads/how_to_apply/adni_acknowledgement_list.pdf,
30,CHIL 2021,ADCB: An Alzheimer’s disease simulator for benchmarking observational estimators of causal effects,URL,https://github.com/healthy-ai/adcb,
31,CHIL 2021,ADCB: An Alzheimer’s disease simulator for benchmarking observational estimators of causal effects,Footnote,", 2","data and code availability we make use
of publicly available longitudinal data, of both
alzheimer’s disease (ad) patients and cognitively
normal controls, from the alzheimer’s disease neuroimaging initiative (adni) database ( adni collects clinical data,
neuroimaging data, genetic data, biological markers,
and clinical and neuropsychological assessments from
1. for the alzheimer’s disease neuroimaging initiative:
data used in preparation of this article were obtained
from the alzheimer’s disease neuroimaging initiative
(adni) database (adni.loni.usc.edu). as such, the investigators within the adni contributed to the design
and implementation of adni and/or provided data but
did not participate in analysis or writing of this report. a complete listing of adni investigators can
be found at:
© 2022 n.m. kinyanjui & f.d. johansson.
participants at different sites in the usa and canada
to study cognitive impairment and and ad. the cohorts used in this work were assembled from adni
1 and go. we use trajectories of 870 unique
patients, taking samples in 12-month intervals. an
implementation of the simulator can be found at
"
32,CHIL 2021,ADCB: An Alzheimer’s disease simulator for benchmarking observational estimators of causal effects,Footnote,", 3",
33,CHIL 2021,Semi-Markov Offline Reinforcement Learning for Healthcare,Inline Citation,"carnicelli et al., 2021","data and code availability access to the randomized control trial data used for the warfarin
study is governed by the combine af execuinvestigators interested in working
tive committee.
with these data should contact a member of the
committee to discuss potential collaboration ().
the code is available at
"
34,CHIL 2021,Semi-Markov Offline Reinforcement Learning for Healthcare,URL,https://github.com/mary-wu/smdp,"data and code availability access to the randomized control trial data used for the warfarin
study is governed by the combine af execuinvestigators interested in working
tive committee.
with these data should contact a member of the
committee to discuss potential collaboration ().
the code is available at
"
35,CHIL 2021,Neural Survival Clustering: Non-parametric mixture of neural networks for survival clustering,Inline Citation,"curtis et al., 2012","data and code availability this paper uses
the publicly available datasets: metabric (), support () and a
synthetic dataset (), all available
on github. the code for the proposed model and to
replicate our results is also available on github.
"
36,CHIL 2021,Neural Survival Clustering: Non-parametric mixture of neural networks for survival clustering,Inline Citation,"knaus et al., 1995",
37,CHIL 2021,Neural Survival Clustering: Non-parametric mixture of neural networks for survival clustering,Inline Citation,"kvamme et al., 2019",
38,CHIL 2021,Neural Survival Clustering: Non-parametric mixture of neural networks for survival clustering,Footnote,1,"data and code availability this paper uses
the publicly available datasets: metabric (), support () and a
synthetic dataset (), all available
on github. the code for the proposed model and to
replicate our results is also available on github.
"
39,CHIL 2021,Neural Survival Clustering: Non-parametric mixture of neural networks for survival clustering,Footnote,2,
40,CHIL 2021,Graph-Text Multi-Modal Pre-training for Medical Representation Learning,Inline Citation,"johnson et al., 2016b","data and code availability this paper utilizes
the mimic-iii dataset (), which
is available on the physionet repository (). our models and codes are available at
the github repository.
1. "
41,CHIL 2021,Graph-Text Multi-Modal Pre-training for Medical Representation Learning,Inline Citation,"johnson et al., 2016a",
42,CHIL 2021,Graph-Text Multi-Modal Pre-training for Medical Representation Learning,URL,https://github.com/sjpark9503/kg_txt_multimodal,"data and code availability this paper utilizes
the mimic-iii dataset (), which
is available on the physionet repository (). our models and codes are available at
the github repository.
1. "
43,CHIL 2021,Graph-Text Multi-Modal Pre-training for Medical Representation Learning,Footnote,1,"data and code availability this paper utilizes
the mimic-iii dataset (), which
is available on the physionet repository (). our models and codes are available at
the github repository.
1. "
44,CHIL 2021,Estimating Model Performance on External Samples from Their Limited Statistical Characteristics,Inline Citation,"ohdsi, 2019","data and code availability this paper uses
the iqvia medical research data, primary care
electronic medical records (emrs) from the united
kingdom (imrd-uk, version: 2019-03), incorporating data from thin, a cegedim database (reference made to thin is intended to be descriptive
of the data asset licensed by iqvia), and transformed to the observational medical outcomes partnership (omop) common data model (cdm; v)
© 2022 t. el-hay & c. yanover.
(). definitions of cohorts,
features,
and outcomes are available through ohdsi demo
atlas. code is available at "
45,CHIL 2021,Estimating Model Performance on External Samples from Their Limited Statistical Characteristics,URL,https://github.com/ki-research-institute/external-evaluation,"data and code availability this paper uses
the iqvia medical research data, primary care
electronic medical records (emrs) from the united
kingdom (imrd-uk, version: 2019-03), incorporating data from thin, a cegedim database (reference made to thin is intended to be descriptive
of the data asset licensed by iqvia), and transformed to the observational medical outcomes partnership (omop) common data model (cdm; v)
© 2022 t. el-hay & c. yanover.
(). definitions of cohorts,
features,
and outcomes are available through ohdsi demo
atlas. code is available at "
46,CHIL 2021,Enriching Unsupervised User Embedding via Medical Concepts,Inline Citation,"johnson et al., 2016","data and code availability in this study, we
experiment with two clinical datasets that are publicly available, medical information mart for intensive
care (mimic)-iii () and clinical trial cohort selection (diabetes) (stubbs et al.,
2019). the data description and processing details is
in section. our experimental codes, supplementary
analyses, and data access instructions are at  we denote the cohort selection dataset as diabetes because
patients share the same syndrome, diabetes. diabetes data
link:  mimic-iii data link: © 2022 x. huang, f. dernoncourt & m. dredze.
"
47,CHIL 2021,Enriching Unsupervised User Embedding via Medical Concepts,URL,https://github.com/xiaoleihuang/useremb_explainable.1,"data and code availability in this study, we
experiment with two clinical datasets that are publicly available, medical information mart for intensive
care (mimic)-iii () and clinical trial cohort selection (diabetes) (stubbs et al.,
2019). the data description and processing details is
in section. our experimental codes, supplementary
analyses, and data access instructions are at  we denote the cohort selection dataset as diabetes because
patients share the same syndrome, diabetes. diabetes data
link:  mimic-iii data link: © 2022 x. huang, f. dernoncourt & m. dredze.
"
48,CHIL 2021,Enriching Unsupervised User Embedding via Medical Concepts,URL,"https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/,",
49,CHIL 2021,Enriching Unsupervised User Embedding via Medical Concepts,URL,https://physionet.org/content/mimiciii//,
50,CHIL 2021,Enriching Unsupervised User Embedding via Medical Concepts,Footnote,1,"data and code availability in this study, we
experiment with two clinical datasets that are publicly available, medical information mart for intensive
care (mimic)-iii () and clinical trial cohort selection (diabetes) (stubbs et al.,
2019). the data description and processing details is
in section. our experimental codes, supplementary
analyses, and data access instructions are at  we denote the cohort selection dataset as diabetes because
patients share the same syndrome, diabetes. diabetes data
link:  mimic-iii data link: © 2022 x. huang, f. dernoncourt & m. dredze.
"
51,CHIL 2021,Enriching Unsupervised User Embedding via Medical Concepts,Footnote, 2,
52,CHIL 2021,Evaluating Domain Generalization for Survival Analysis in Clinical Studies,URL,https://clinicaltrials.gov/,"data and code availability our study includes
patient outcome and baseline characteristics data collected from several clinical studies on non-small-cell
© 2022 c. harbron, g. jansen & t. xu.
lung carcinoma (nsclc) and diffuse large b-cell
lymphoma (dlbcl). a short description of each
dataset along with references is available in the appendix. details of the clinical trials can be found on
 datasets are not
publicly available at the time of writing, please contact the study team to obtain data access. legal
review for code sharing is in progress and the code
cannot be shared by the time of manuscript submission. please contact the authors regarding the access
to the code.
"
53,CHIL 2021,Multi-Task Adversarial Learning for Treatment Effect Estimation in Basket Trials,Inline Citation,"brooks-gunn et al., 1992","data and code availability this paper uses
benchmarks ihdp () and
(), which are available on
news
1.  "
54,CHIL 2021,Multi-Task Adversarial Learning for Treatment Effect Estimation in Basket Trials,Inline Citation,"schwab et al., 2018",
55,CHIL 2021,Multi-Task Adversarial Learning for Treatment Effect Estimation in Basket Trials,URL,https://github.com/vdorie/npci2,"data and code availability this paper uses
benchmarks ihdp () and
(), which are available on
news
1.  "
56,CHIL 2021,Multi-Task Adversarial Learning for Treatment Effect Estimation in Basket Trials,URL,https://archive.ics.uci.edu/ml/datasets/bag+of+words,
57,CHIL 2021,Counterfactually Guided Policy Transfer in Clinical Settings,Inline Citation,"oberst and sontag, 2019","data and code availability we use data derived
from a sepsis simulator to demonstrate challenges
that partial observability presents when learning treatment policies (). this simulator approximates patient physiology (discretized
measurements of heart rate, blood pressure, oxygen
concentration, and glucose levels) in response to medical interventions and whether the patient is diabetic.
possible treatments include antibiotics, vasopressors,
and mechanical ventilation. our code, used to augment the simulator and develop the approach described in this paper can be found at  "
58,CHIL 2021,Counterfactually Guided Policy Transfer in Clinical Settings,URL,https://github.com/mlforhealth/counterfactual_transfer.1,"data and code availability we use data derived
from a sepsis simulator to demonstrate challenges
that partial observability presents when learning treatment policies (). this simulator approximates patient physiology (discretized
measurements of heart rate, blood pressure, oxygen
concentration, and glucose levels) in response to medical interventions and whether the patient is diabetic.
possible treatments include antibiotics, vasopressors,
and mechanical ventilation. our code, used to augment the simulator and develop the approach described in this paper can be found at  "
59,CHIL 2021,Counterfactually Guided Policy Transfer in Clinical Settings,URL,https://github.com/clinicalml/gumbel-max-scm,
60,CHIL 2021,Counterfactually Guided Policy Transfer in Clinical Settings,Footnote,1,"data and code availability we use data derived
from a sepsis simulator to demonstrate challenges
that partial observability presents when learning treatment policies (). this simulator approximates patient physiology (discretized
measurements of heart rate, blood pressure, oxygen
concentration, and glucose levels) in response to medical interventions and whether the patient is diabetic.
possible treatments include antibiotics, vasopressors,
and mechanical ventilation. our code, used to augment the simulator and develop the approach described in this paper can be found at  "
61,CHIL 2021,Real-Time Seizure Detection using EEG: A Comprehensive Comparison of Recent Approaches under a Realistic Setting,URL,https://isip.piconepress.com/projects/tuh,"data and code availability the data used
for our work can be found from the temple
university hospital (tuh) eeg seizure corpus
∗ these authors contributed equally
† this work was done while the authors were in aitrics
© 2022 k. lee, h. jeong, s. kim, d. yang, h.-c. kang & e. choi.
(tusz) dataset v ( eeg/html/downloads.shtml). our
code is available at  real time seizure detection.
"
62,CHIL 2021,Real-Time Seizure Detection using EEG: A Comprehensive Comparison of Recent Approaches under a Realistic Setting,URL,https://github.com/aitrics/eeg,
63,CHIL 2021,Identification of Subgroups With Similar Benefits in Off-Policy Policy Evaluation,Inline Citation,"johnson et al., 2016","data and code availability this research paper
uses the mimic-iii dataset ().
this dataset is available on the physionet repository
(). code to generate results in
section (experiments) are available in the supplementary materials.
recent advances
in technology and regulations
around them have enabled the collection of an unprecedented amount of data of past decisions and
outcomes in different domains such as health care,
recommendation systems, and education. this offers a unique opportunity to learn better decisionmaking policies using observational data. off-policy
policy evaluation (ope) is concerned with estimating the value of a proposed policy (evaluation policy) using the data collected under a different policy
(behaviour policy).estimating the value of an evaluation policy before deployment is essential, especially
when interacting with the environment is expensive,
risky, or unethical, such as in health care (). fortunately, the reinforcement learning (rl) community has developed different methods and theories focused on ope, e.g. ; ; .
ope has been used extensively in the literature
to demonstrate the superiority of a proposed evaluation policy relative to the baseline (behaviour) policy
e.g. ; however, the evaluation policy may be better than the behaviour policy for some individuals but not others. hence, only
looking at the estimated value of the evaluation policy before deployment, may be misleading.
in the
non-sequential setting, a growing literature has focused on personalization and estimation of heterogeneous treatment effect (hte), the individual-level
"
64,CHIL 2021,Identification of Subgroups With Similar Benefits in Off-Policy Policy Evaluation,Inline Citation,"goldberger et al., 2000",
65,CHIL 2021,Identification of Subgroups With Similar Benefits in Off-Policy Policy Evaluation,Inline Citation,"gottesman et al., 2019",
66,CHIL 2021,Identification of Subgroups With Similar Benefits in Off-Policy Policy Evaluation,Inline Citation,jiang and li (2016),
67,CHIL 2021,Identification of Subgroups With Similar Benefits in Off-Policy Policy Evaluation,Inline Citation,thomas and brunskill (2016),
68,CHIL 2021,Identification of Subgroups With Similar Benefits in Off-Policy Policy Evaluation,Inline Citation,kallus and uehara (2020),
69,CHIL 2021,Identification of Subgroups With Similar Benefits in Off-Policy Policy Evaluation,Inline Citation,komorowski et al. (2018),
70,CHIL 2021,Identification of Subgroups With Similar Benefits in Off-Policy Policy Evaluation,Footnote, 6,"data and code availability this research paper
uses the mimic-iii dataset ().
this dataset is available on the physionet repository
(). code to generate results in
section (experiments) are available in the supplementary materials.
recent advances
in technology and regulations
around them have enabled the collection of an unprecedented amount of data of past decisions and
outcomes in different domains such as health care,
recommendation systems, and education. this offers a unique opportunity to learn better decisionmaking policies using observational data. off-policy
policy evaluation (ope) is concerned with estimating the value of a proposed policy (evaluation policy) using the data collected under a different policy
(behaviour policy).estimating the value of an evaluation policy before deployment is essential, especially
when interacting with the environment is expensive,
risky, or unethical, such as in health care (). fortunately, the reinforcement learning (rl) community has developed different methods and theories focused on ope, e.g. ; ; .
ope has been used extensively in the literature
to demonstrate the superiority of a proposed evaluation policy relative to the baseline (behaviour) policy
e.g. ; however, the evaluation policy may be better than the behaviour policy for some individuals but not others. hence, only
looking at the estimated value of the evaluation policy before deployment, may be misleading.
in the
non-sequential setting, a growing literature has focused on personalization and estimation of heterogeneous treatment effect (hte), the individual-level
"
71,CHIL 2021,PhysioMTL: Personalizing Physiological Patterns using Optimal Transport Multi-Task Regression,Inline Citation,"rossi et al., 2020","data and code availability the study in this
paper uses two real-world datasets:
 the apple
heart & movement study (ahms) dataset (apple,
2019) and  the multilevel monitoring of activity
and sleep in health people (mmash) dataset (). the ahms dataset is not publicly
available. the mmash dataset is publicly availet al.,
able on the physionet repository (rossi.
2020), with an open-source python api available at
 we will
make code available to reproduce all the experimental
results obtained from the mmash dataset.
"
72,CHIL 2021,PhysioMTL: Personalizing Physiological Patterns using Optimal Transport Multi-Task Regression,URL,https://github.com/rossialessio/mmash,"data and code availability the study in this
paper uses two real-world datasets:
 the apple
heart & movement study (ahms) dataset (apple,
2019) and  the multilevel monitoring of activity
and sleep in health people (mmash) dataset (). the ahms dataset is not publicly
available. the mmash dataset is publicly availet al.,
able on the physionet repository (rossi.
2020), with an open-source python api available at
 we will
make code available to reproduce all the experimental
results obtained from the mmash dataset.
"
73,CHIL 2021,PhysioMTL: Personalizing Physiological Patterns using Optimal Transport Multi-Task Regression,Footnote,(1),"data and code availability the study in this
paper uses two real-world datasets:
 the apple
heart & movement study (ahms) dataset (apple,
2019) and  the multilevel monitoring of activity
and sleep in health people (mmash) dataset (). the ahms dataset is not publicly
available. the mmash dataset is publicly availet al.,
able on the physionet repository (rossi.
2020), with an open-source python api available at
 we will
make code available to reproduce all the experimental
results obtained from the mmash dataset.
"
74,CHIL 2021,PhysioMTL: Personalizing Physiological Patterns using Optimal Transport Multi-Task Regression,Footnote,(2),
